Mass [amu]	Ion Current [A]
22.84	-1.345465e-013
22.88	-1.382077e-013
22.91	-1.438423e-013
22.94	-1.499182e-013
22.97	-1.528956e-013
23.00	-1.501464e-013
23.03	-1.435538e-013
23.06	-1.380542e-013
23.09	-1.364661e-013
23.13	-1.382571e-013
23.16	-1.421026e-013
23.19	-1.466953e-013
23.22	-1.507628e-013
23.25	-1.540119e-013
23.28	-1.561440e-013
23.31	-1.555201e-013
23.34	-1.513712e-013
23.38	-1.453843e-013
23.41	-1.399118e-013
23.44	-1.372083e-013
23.47	-1.388580e-013
23.50	-1.434401e-013
23.53	-1.467393e-013
23.56	-1.453379e-013
23.59	-1.392456e-013
23.63	-1.312077e-013
23.66	-1.242312e-013
23.69	-1.203612e-013
23.72	-1.210894e-013
23.75	-1.260455e-013
23.78	-1.314283e-013
23.81	-1.333470e-013
23.84	-1.317858e-013
23.88	-1.290328e-013
23.91	-1.266340e-013
23.94	-1.249555e-013
23.97	-1.242460e-013
24.00	-1.252473e-013
24.03	-1.277088e-013
24.06	-1.303989e-013
24.09	-1.339213e-013
24.13	-1.391797e-013
24.16	-1.436206e-013
24.19	-1.443810e-013
24.22	-1.426143e-013
24.25	-1.410153e-013
24.28	-1.406009e-013
24.31	-1.407969e-013
24.34	-1.401663e-013
24.38	-1.381807e-013
24.41	-1.363707e-013
24.44	-1.358555e-013
24.47	-1.358917e-013
24.50	-1.359266e-013
24.53	-1.361736e-013
24.56	-1.367445e-013
24.59	-1.375485e-013
24.63	-1.376518e-013
24.66	-1.357627e-013
24.69	-1.326217e-013
24.72	-1.307449e-013
24.75	-1.315642e-013
24.78	-1.343523e-013
24.81	-1.366805e-013
24.84	-1.359922e-013
24.88	-1.324669e-013
24.91	-1.292803e-013
24.94	-1.293122e-013
24.97	-1.326642e-013
25.00	-1.372677e-013
25.03	-1.411433e-013
25.06	-1.433984e-013
25.09	-1.433844e-013
25.13	-1.412072e-013
25.16	-1.387848e-013
25.19	-1.376642e-013
25.22	-1.374951e-013
25.25	-1.379015e-013
25.28	-1.383661e-013
25.31	-1.370730e-013
25.34	-1.334468e-013
25.38	-1.296932e-013
25.41	-1.281565e-013
25.44	-1.293337e-013
25.47	-1.317718e-013
25.50	-1.328411e-013
25.53	-1.310209e-013
25.56	-1.271196e-013
25.59	-1.233058e-013
25.63	-1.217901e-013
25.66	-1.229000e-013
25.69	-1.244297e-013
25.72	-1.247127e-013
25.75	-1.244196e-013
25.78	-1.237911e-013
25.81	-1.218155e-013
25.84	-1.191954e-013
25.88	-1.182446e-013
25.91	-1.192377e-013
25.94	-1.197148e-013
25.97	-1.181301e-013
26.00	-1.160693e-013
26.03	-1.158767e-013
26.06	-1.177116e-013
26.09	-1.199464e-013
26.13	-1.211521e-013
26.16	-1.209464e-013
26.19	-1.199583e-013
26.22	-1.192972e-013
26.25	-1.199261e-013
26.28	-1.222368e-013
26.31	-1.253696e-013
26.34	-1.276445e-013
26.38	-1.284293e-013
26.41	-1.286475e-013
26.44	-1.296302e-013
26.47	-1.326550e-013
26.50	-1.383136e-013
26.53	-1.450390e-013
26.56	-1.499965e-013
26.59	-1.513763e-013
26.63	-1.483595e-013
26.66	-1.414632e-013
26.69	-1.338895e-013
26.72	-1.281753e-013
26.75	-1.229370e-013
26.78	-1.174300e-013
26.81	-1.146501e-013
26.84	-1.168174e-013
26.88	-1.220718e-013
26.91	-1.263433e-013
26.94	-1.270116e-013
26.97	-1.252697e-013
27.00	-1.245990e-013
27.03	-1.267675e-013
27.06	-1.301937e-013
27.09	-1.319749e-013
27.13	-1.308505e-013
27.16	-1.277609e-013
27.19	-1.240126e-013
27.22	-1.205129e-013
27.25	-1.177702e-013
27.28	-1.149570e-013
27.31	-1.117081e-013
27.34	-1.115576e-013
27.38	-1.183513e-013
27.41	-1.297929e-013
27.44	-1.392496e-013
27.47	-1.410697e-013
27.50	-1.312419e-013
27.53	-1.048800e-013
27.56	-5.557682e-014
27.59	1.948611e-014
27.63	1.134391e-013
27.66	2.124764e-013
27.69	3.048125e-013
27.72	3.845868e-013
27.75	4.497384e-013
27.78	4.999455e-013
27.81	5.357509e-013
27.84	5.581107e-013
27.88	5.687364e-013
27.91	5.700867e-013
27.94	5.649196e-013
27.97	5.561618e-013
28.00	5.458653e-013
28.03	5.339999e-013
28.06	5.194940e-013
28.09	5.015533e-013
28.13	4.794100e-013
28.16	4.516846e-013
28.19	4.164531e-013
28.22	3.749132e-013
28.25	3.344516e-013
28.28	3.022312e-013
28.31	2.774255e-013
28.34	2.542018e-013
28.38	2.278418e-013
28.41	1.948668e-013
28.44	1.514922e-013
28.47	9.519531e-014
28.50	2.946247e-014
28.53	-3.415092e-014
28.56	-8.266977e-014
28.59	-1.101838e-013
28.63	-1.192660e-013
28.66	-1.175564e-013
28.69	-1.128690e-013
28.72	-1.091038e-013
28.75	-1.070772e-013
28.78	-1.066177e-013
28.81	-1.061856e-013
28.84	-1.043628e-013
28.88	-1.021583e-013
28.91	-1.013656e-013
28.94	-1.023855e-013
28.97	-1.054894e-013
29.00	-1.113744e-013
29.03	-1.190433e-013
29.06	-1.254660e-013
29.09	-1.281525e-013
29.13	-1.273778e-013
29.16	-1.257058e-013
29.19	-1.248925e-013
29.22	-1.240455e-013
29.25	-1.223367e-013
29.28	-1.213329e-013
29.31	-1.222591e-013
29.34	-1.235250e-013
29.38	-1.228694e-013
29.41	-1.200945e-013
29.44	-1.168904e-013
29.47	-1.153535e-013
29.50	-1.167201e-013
29.53	-1.197404e-013
29.56	-1.206862e-013
29.59	-1.163513e-013
29.63	-1.067922e-013
29.66	-9.549130e-014
29.69	-8.695342e-014
29.72	-8.319662e-014
29.75	-8.313836e-014
29.78	-8.553026e-014
29.81	-8.983606e-014
29.84	-9.360083e-014
29.88	-9.286811e-014
29.91	-8.747022e-014
29.94	-8.257330e-014
29.97	-8.345709e-014
30.00	-9.097808e-014
30.03	-1.008827e-013
30.06	-1.067819e-013
30.09	-1.059266e-013
30.13	-1.003864e-013
30.16	-9.315761e-014
30.19	-8.732813e-014
30.22	-8.584025e-014
30.25	-8.850933e-014
30.28	-9.252013e-014
30.31	-9.579951e-014
30.34	-9.798851e-014
30.38	-1.000543e-013
30.41	-1.031124e-013
30.44	-1.069033e-013
30.47	-1.110587e-013
30.50	-1.159185e-013
30.53	-1.200492e-013
30.56	-1.213455e-013
30.59	-1.210059e-013
30.63	-1.222141e-013
30.66	-1.262243e-013
30.69	-1.319052e-013
30.72	-1.375090e-013
30.75	-1.414603e-013
30.78	-1.422777e-013
30.81	-1.398716e-013
30.84	-1.364610e-013
30.88	-1.340392e-013
30.91	-1.327792e-013
30.94	-1.329575e-013
30.97	-1.350294e-013
31.00	-1.378515e-013
31.03	-1.396409e-013
31.06	-1.398661e-013
31.09	-1.389567e-013
31.13	-1.377955e-013
31.16	-1.371713e-013
31.19	-1.363950e-013
31.22	-1.343547e-013
31.25	-1.324036e-013
31.28	-1.332597e-013
31.31	-1.364963e-013
31.34	-1.380740e-013
31.38	-1.354195e-013
31.41	-1.307883e-013
31.44	-1.286797e-013
31.47	-1.312038e-013
31.50	-1.358702e-013
31.53	-1.373185e-013
31.56	-1.314532e-013
31.59	-1.177946e-013
31.63	-9.821520e-014
31.66	-7.498411e-014
31.69	-5.132526e-014
31.72	-3.204364e-014
31.75	-2.023749e-014
31.78	-1.400159e-014
31.81	-8.713603e-015
31.84	-1.506924e-015
31.88	6.921301e-015
31.91	1.304992e-014
31.94	1.366843e-014
31.97	9.163468e-015
32.00	2.924934e-015
32.03	-2.003632e-015
32.06	-5.195536e-015
32.09	-8.507452e-015
32.13	-1.366380e-014
32.16	-2.086966e-014
32.19	-2.990178e-014
32.22	-3.949039e-014
32.25	-4.599541e-014
32.28	-4.729958e-014
32.31	-4.627667e-014
32.34	-4.723724e-014
32.38	-5.263871e-014
32.41	-6.327952e-014
32.44	-7.723236e-014
32.47	-9.050167e-014
32.50	-1.008972e-013
32.53	-1.088016e-013
32.56	-1.153117e-013
32.59	-1.223324e-013
32.63	-1.313419e-013
32.66	-1.406520e-013
32.69	-1.472583e-013
32.72	-1.502033e-013
32.75	-1.500317e-013
32.78	-1.470629e-013
32.81	-1.417331e-013
32.84	-1.362466e-013
32.88	-1.340079e-013
32.91	-1.361680e-013
32.94	-1.404725e-013
32.97	-1.442062e-013
33.00	-1.461274e-013
33.03	-1.456531e-013
33.06	-1.425661e-013
33.09	-1.374149e-013
33.13	-1.319690e-013
33.16	-1.295276e-013
33.19	-1.316587e-013
33.22	-1.349208e-013
33.25	-1.353778e-013
33.28	-1.340971e-013
33.31	-1.338772e-013
33.34	-1.339721e-013
33.38	-1.316901e-013
33.41	-1.273353e-013
33.44	-1.251205e-013
33.47	-1.287665e-013
33.50	-1.372452e-013
33.53	-1.457556e-013
33.56	-1.501729e-013
33.59	-1.494501e-013
33.63	-1.449657e-013
33.66	-1.391836e-013
33.69	-1.342567e-013
33.72	-1.309654e-013
33.75	-1.287897e-013
33.78	-1.277738e-013
33.81	-1.293899e-013
33.84	-1.336353e-013
33.88	-1.374838e-013
33.91	-1.382014e-013
33.94	-1.358021e-013
