% Langmuir characteristic curve

% U (Volt)	I (A)
-8.029000	-2.007000E-7
-8.022000	-3.699679E-7
-8.015000	-2.345769E-7
-8.008000	-6.194459E-7
-8.001000	-2.895249E-7
-7.994000	-2.303859E-7
-7.987000	-2.853340E-7
-7.980000	-1.330627E-7
-7.973000	-4.544854E-7
-7.966000	-3.445894E-7
-7.959000	-2.641464E-7
-7.952000	-2.514571E-7
-7.945000	-3.275927E-7
-7.938000	-1.965091E-7
-7.931000	-2.050074E-7
-7.924000	-2.726447E-7
-7.917000	-2.641464E-7
-7.910000	-2.726447E-7
-7.903000	-6.961636E-8
-7.896000	-3.614696E-7
-7.889000	-2.599554E-7
-7.882000	-2.218876E-7
-7.875000	-3.107125E-7
-7.868000	-2.641464E-7
-7.861000	-4.502945E-7
-7.854000	-3.656605E-7
-7.847000	-3.192108E-7
-7.840000	-2.176967E-7
-7.833000	-2.514571E-7
-7.826000	-3.154855E-8
-7.819000	-2.684537E-7
-7.812000	-3.234018E-7
-7.804500	-2.007000E-7
-7.797500	-2.980232E-7
-7.790500	-2.684537E-7
-7.783500	-4.291069E-7
-7.776500	-3.572786E-7
-7.769500	-2.938323E-7
-7.762500	-2.938323E-7
-7.755500	-4.122267E-7
-7.748500	-7.811468E-8
-7.741500	-2.599554E-7
-7.734500	-2.641464E-7
-7.727500	-2.345769E-7
-7.720500	-2.091983E-7
-7.713500	-2.641464E-7
-7.706500	-2.007000E-7
-7.699500	-2.599554E-7
-7.692500	-2.514571E-7
-7.685500	-2.303859E-7
-7.678500	-4.713656E-7
-7.671500	-3.234018E-7
-7.664500	-3.699679E-7
-7.657500	-2.557645E-7
-7.650500	-2.938323E-7
-7.643500	-7.811468E-8
-7.636500	-1.796288E-7
-7.629500	-1.161825E-7
-7.622500	-2.768356E-7
-7.615500	-2.260786E-7
-7.608500	-1.796288E-7
-7.601500	-2.345769E-7
-7.594500	-3.234018E-7
-7.587500	-2.768356E-7
-7.580500	-2.260786E-7
-7.573500	-3.192108E-7
-7.566500	-2.303859E-7
-7.559500	-4.332978E-7
-7.552500	-2.430752E-7
-7.545500	-3.445894E-7
-7.538500	-2.726447E-7
-7.531500	-3.953464E-7
-7.524500	-2.557645E-7
-7.517500	-2.218876E-7
-7.510500	-2.345769E-7
-7.503500	-1.923181E-7
-7.496500	-2.007000E-7
-7.489500	-2.895249E-7
-7.482500	-1.753215E-7
-7.475500	-1.796288E-7
-7.468500	-3.910391E-7
-7.461500	-2.176967E-7
-7.454500	-3.360910E-7
-7.447500	-3.572786E-7
-7.440500	-2.895249E-7
-7.433500	-4.332978E-7
-7.426500	-2.260786E-7
-7.419500	-2.260786E-7
-7.412500	-2.557645E-7
-7.405500	-2.430752E-7
-7.398500	-2.218876E-7
-7.391500	-1.330627E-7
-7.384500	-1.880107E-7
-7.377500	-1.457520E-7
-7.370500	-1.838198E-7
-7.363500	-4.037283E-7
-7.356500	-1.711305E-7
-7.349500	-2.260786E-7
-7.342500	-1.753215E-7
-7.335500	-2.684537E-7
-7.328500	-1.753215E-7
-7.321500	-4.037283E-7
-7.314500	-2.514571E-7
-7.307500	-1.499429E-7
-7.300500	-1.203734E-7
-7.293500	-2.811430E-7
-7.286500	4.458707E-8
-7.279500	-1.034932E-7
-7.272500	-1.711305E-7
-7.265500	-3.529713E-7
-7.258500	-1.584413E-7
-7.251500	-2.050074E-7
-7.244500	-1.246808E-7
-7.237500	-2.684537E-7
-7.230500	-3.614696E-7
-7.223500	-3.275927E-7
-7.216500	-3.402820E-7
-7.209500	3.608875E-8
-7.202500	-9.499490E-8
-7.195500	1.920853E-8
-7.188500	-1.330627E-7
-7.181500	-1.203734E-7
-7.174500	8.265488E-8
-7.167500	-2.811430E-7
-7.160500	1.490116E-8
-7.153500	-1.119915E-7
-7.146500	-3.192108E-7
-7.139500	-1.838198E-7
-7.132500	-1.415610E-7
-7.125500	-1.457520E-7
-7.118500	-1.923181E-7
-7.111500	-1.711305E-7
-7.104500	-1.203734E-7
-7.097500	-7.392373E-8
-7.090500	-9.499490E-8
-7.083500	1.920853E-8
-7.076500	-2.472661E-7
-7.069500	-2.218876E-7
-7.062500	1.376029E-7
-7.055500	-2.303859E-7
-7.048500	-5.273614E-8
-7.041500	-2.472661E-7
-7.034500	-7.392373E-8
-7.027500	-6.123446E-8
-7.020500	-1.880107E-7
-7.013500	-7.392373E-8
-7.006500	1.122244E-7
-6.999500	-7.392373E-8
-6.992500	-6.542541E-8
-6.985500	-4.423782E-8
-6.978500	7.834751E-8
-6.971500	2.211891E-9
-6.964500	2.759043E-8
-6.957500	-1.885928E-8
-6.950500	-7.811468E-8
-6.943500	-1.246808E-7
-6.936500	-6.961636E-8
-6.929500	1.629815E-7
-6.922500	-7.811468E-8
-6.915500	-1.584413E-7
-6.908500	4.027970E-8
-6.901500	1.920853E-8
-6.894500	5.296897E-8
-6.887500	4.027970E-8
-6.880500	2.306188E-7
-6.873500	3.608875E-8
-6.866500	7.415656E-8
-6.859500	1.164153E-7
-6.852500	2.855668E-7
-6.845500	2.601882E-7
-6.838500	-1.415610E-7
-6.831500	1.920853E-8
-6.824500	-6.542541E-8
-6.817500	1.490116E-8
-6.810500	1.417939E-7
-6.803500	-1.034932E-7
-6.796500	-9.080395E-8
-6.789500	1.713634E-7
-6.782500	-4.004687E-8
-6.775500	3.617024E-7
-6.768500	2.264278E-7
-6.761500	2.391171E-7
-6.754500	2.264278E-7
-6.747000	1.671724E-7
-6.740000	2.474990E-7
-6.733000	1.671724E-7
-6.726000	1.629815E-7
-6.719000	1.079170E-7
-6.712000	1.671724E-7
-6.705000	2.052402E-7
-6.698000	2.518063E-7
-6.691000	2.813758E-7
-6.684000	2.052402E-7
-6.677000	2.094312E-7
-6.670000	2.897577E-7
-6.663000	4.208414E-7
-6.656000	3.828900E-7
-6.649000	3.405148E-7
-6.642000	3.490131E-7
-6.635000	3.743917E-7
-6.628000	4.800968E-7
-6.621000	1.840526E-7
-6.614000	3.024470E-7
-6.607000	4.335307E-7
-6.600000	4.039612E-7
-6.593000	2.306188E-7
-6.586000	4.842877E-7
-6.579000	4.208414E-7
-6.572000	5.096663E-7
-6.565000	4.462199E-7
-6.558000	5.604234E-7
-6.551000	5.858019E-7
-6.544000	7.845229E-7
-6.537000	6.280607E-7
-6.530000	6.323680E-7
-6.523000	6.238697E-7
-6.516000	6.238697E-7
-6.509000	6.365590E-7
-6.502000	5.689217E-7
-6.495000	6.788177E-7
-6.488000	5.520415E-7
-6.481000	7.634517E-7
-6.474000	7.507624E-7
-6.467000	6.788177E-7
-6.460000	7.295748E-7
-6.453000	7.803319E-7
-6.446000	1.017121E-6
-6.439000	8.352799E-7
-6.432000	8.860370E-7
-6.425000	1.034117E-6
-6.418000	8.733477E-7
-6.411000	7.718336E-7
-6.404000	9.917421E-7
-6.397000	7.930212E-7
-6.390000	9.072246E-7
-6.383000	1.025619E-6
-6.376000	9.282958E-7
-6.369000	9.579817E-7
-6.362000	1.152512E-6
-6.355000	1.127133E-6
-6.348000	1.317356E-6
-6.341000	1.258217E-6
-6.334000	1.224340E-6
-6.327000	1.152512E-6
-6.320000	1.351233E-6
-6.313000	1.355424E-6
-6.306000	1.287786E-6
-6.299000	1.211651E-6
-6.292000	1.351233E-6
-6.285000	1.482316E-6
-6.278000	1.291977E-6
-6.271000	1.368113E-6
-6.264000	1.507695E-6
-6.257000	1.566834E-6
-6.250000	1.647277E-6
-6.243000	1.875567E-6
-6.236000	1.676846E-6
-6.229000	1.706416E-6
-6.222000	1.841807E-6
-6.215000	1.875567E-6
-6.208000	1.841807E-6
-6.201000	1.833308E-6
-6.194000	1.731794E-6
-6.187000	2.002460E-6
-6.180000	1.926324E-6
-6.173000	2.192683E-6
-6.166000	2.294197E-6
-6.159000	2.180110E-6
-6.152000	2.150424E-6
-6.145000	2.471847E-6
-6.138000	2.315384E-6
-6.131000	2.226559E-6
-6.124000	2.416898E-6
-6.117000	2.539484E-6
-6.110000	2.564862E-6
-6.103000	2.552173E-6
-6.096000	2.628309E-6
-6.089000	2.746703E-6
-6.082000	2.780580E-6
-6.075000	2.772082E-6
-6.068000	2.695946E-6
-6.061000	3.101886E-6
-6.054000	2.924353E-6
-6.047000	2.996181E-6
-6.040000	3.127265E-6
-6.033000	3.051129E-6
-6.026000	3.309106E-6
-6.019000	3.389432E-6
-6.012000	3.474066E-6
-6.005000	3.567082E-6
-5.998000	3.575580E-6
-5.991000	3.452878E-6
-5.984000	3.516325E-6
-5.977000	3.723544E-6
-5.970000	3.736233E-6
-5.963000	3.926572E-6
-5.956000	4.049158E-6
-5.949000	3.913883E-6
-5.942000	4.133675E-6
-5.935000	4.146365E-6
-5.928000	4.078727E-6
-5.921000	4.493166E-6
-5.914000	4.759524E-6
-5.907000	4.645437E-6
-5.900000	4.565110E-6
-5.893000	4.822970E-6
-5.886000	4.911795E-6
-5.879000	5.042879E-6
-5.872000	4.907604E-6
-5.865000	5.004811E-6
-5.858000	5.478505E-6
-5.851000	5.313545E-6
-5.844000	5.482696E-6
-5.837000	5.617971E-6
-5.830000	5.757553E-6
-5.823000	5.909824E-6
